station_id,date,element,value,measurement_flag,quality_flag,source_flag
USC00504899,2024-01-01,TMIN,-0.6,,,7
USC00504899,2024-01-01,TOBS,0.6,,,7
USC00504899,2024-01-01,PRCP,0.0,,,7
USC00504899,2024-01-01,SNOW,0.0,,,7
USC00504899,2024-01-01,SNWD,0.0,,,7
USC00504991,2024-01-01,TMAX,4.4,,,7
USC00504991,2024-01-01,TMIN,-0.6,,,7
USC00504991,2024-01-01,TOBS,3.9,,,7
USC00504991,2024-01-01,PRCP,7.6,,,7
USC00504991,2024-01-01,SNOW,0.0,,,7
USC00504991,2024-01-01,SNWD,0.0,,,7
USC00505136,2024-01-01,TMAX,-25.6,,,7
USC00505136,2024-01-01,TMIN,-31.1,,,7
USC00505136,2024-01-01,TOBS,-30.0,,,7
USC00505136,2024-01-01,PRCP,0.0,,,7
USC00505136,2024-01-01,SNOW,0.0,,,7
USC00505136,2024-01-01,SNWD,27.9,,,7
USC00505464,2024-01-01,TMAX,-6.7,,,7
USC00505464,2024-01-01,TMIN,-11.1,,,7
USC00505464,2024-01-01,TOBS,-7.8,,,7
USC00505464,2024-01-01,PRCP,0.0,,,7
USC00505464,2024-01-01,SNOW,0.0,,,7
USC00505464,2024-01-01,SNWD,66.0,,,7
USC00505733,2024-01-01,TMAX,-9.4,,,7
USC00505733,2024-01-01,TMIN,-16.1,,,7
USC00505733,2024-01-01,TOBS,-12.2,,,7
USC00505733,2024-01-01,PRCP,0.0,,,7
USC00505733,2024-01-01,SNOW,0.0,,,7
USC00505733,2024-01-01,SNWD,30.5,,,7
USC00505778,2024-01-01,TMAX,-8.9,,,7
USC00505778,2024-01-01,TMIN,-19.4,,,7
USC00505778,2024-01-01,TOBS,-12.2,,,7
USC00505778,2024-01-01,PRCP,0.0,,,7
USC00505778,2024-01-01,SNOW,0.0,,,7
USC00505778,2024-01-01,SNWD,48.3,,,7
USC00505854,2024-01-01,TMAX,5.6,,,7
USC00505854,2024-01-01,TMIN,2.2,,,7
USC00505854,2024-01-01,TOBS,5.0,,,7
USC00505854,2024-01-01,PRCP,6.4,,,7
USC00505854,2024-01-01,SNOW,0.0,,,7
USC00505854,2024-01-01,SNWD,0.0,,,7
USC00505881,2024-01-01,TMAX,-17.8,,,7
USC00505881,2024-01-01,TMIN,-25.0,,,7
USC00505881,2024-01-01,TOBS,-19.4,,,7
USC00505881,2024-01-01,PRCP,0.0,,,7
USC00505881,2024-01-01,SNOW,0.0,,,7
USC00505881,2024-01-01,SNWD,38.1,,,7
USC00505884,2024-01-01,PRCP,0.0,,,7
USC00503695,2024-01-01,TMAX,5.0,,,7
USC00503695,2024-01-01,TMIN,0.0,,,7
USC00503695,2024-01-01,TOBS,1.1,,,7
USC00503695,2024-01-01,PRCP,0.3,,,7
USC00503695,2024-01-01,SNOW,0.0,,,7
USC00503695,2024-01-01,SNWD,2.5,,,7
USC00504103,2024-01-01,TMAX,0.0,,,7
USC00504103,2024-01-01,TMIN,-1.1,,,7
USC00504103,2024-01-01,TOBS,-1.1,,,7
USC00504103,2024-01-01,PRCP,3.0,,,7
USC00504103,2024-01-01,SNOW,5.6,,,7
USC00504103,2024-01-01,SNWD,5.1,,,7
USC00504107,2024-01-01,TMAX,1.1,,,7
USC00504107,2024-01-01,TMIN,-0.6,,,7
USC00504107,2024-01-01,TOBS,-0.6,,,7
USC00504107,2024-01-01,PRCP,1.8,,,7
USC00504107,2024-01-01,SNOW,2.0,,,7
USC00504107,2024-01-01,SNWD,2.5,,,7
USC00504112,2024-01-01,PRCP,1.3,,,7
USC00504112,2024-01-01,SNOW,0.0,,,7
USC00504112,2024-01-01,SNWD,0.0,,,7
USC00504165,2024-01-01,TMAX,-10.0,,,H
USC00504165,2024-01-01,TMIN,-12.2,,,H
USC00504165,2024-01-01,PRCP,0.0,,,H
USC00504594,2024-01-01,TMAX,4.4,,,7
USC00504594,2024-01-01,TMIN,1.1,,,7
USC00504594,2024-01-01,TOBS,2.8,,,7
USC00504594,2024-01-01,PRCP,3.8,,,7
USC00504594,2024-01-01,SNOW,0.0,,,7
USC00504594,2024-01-01,SNWD,0.0,,,7
USC00504621,2024-01-01,TMAX,-8.9,,,7
USC00504621,2024-01-01,TMIN,-11.1,,,7
USC00504621,2024-01-01,TOBS,-11.1,,,7
USC00504621,2024-01-01,PRCP,0.0,,,7
USC00504621,2024-01-01,SNOW,0.0,,,7
USC00504621,2024-01-01,SNWD,45.7,,,7
ASN00010508,2024-01-01,PRCP,0.0,,,a
ASN00010304,2024-01-01,PRCP,0.0,,,a
ASN00010307,2024-01-01,PRCP,0.0,,,a
ASN00010308,2024-01-01,PRCP,0.0,,,a
ASN00010310,2024-01-01,PRCP,0.0,,,a
ASN00010311,2024-01-01,TMAX,31.8,,,a
ASN00010311,2024-01-01,TMIN,14.5,,,a
ASN00010311,2024-01-01,PRCP,0.0,,,a
ASN00010502,2024-01-01,PRCP,0.0,,,a
ASN00010503,2024-01-01,PRCP,0.0,,,a
USC00519281,2024-01-01,TMAX,26.1,,,7
USC00519281,2024-01-01,TMIN,16.1,,,7
USC00519281,2024-01-01,TOBS,23.3,,,7
USC00519281,2024-01-01,PRCP,0.3,,,7
USC00519980,2024-01-01,PRCP,1.3,,,7
USR0000AALP,2024-01-01,TMAX,6.1,H,,U
USR0000AALP,2024-01-01,TMIN,-8.9,H,,U
USR0000AASI,2024-01-01,TMAX,-7.4,H,,U
USR0000AASI,2024-01-01,TMIN,-10.3,H,,U
USR0000ABAN,2024-01-01,TMAX,4.4,H,,U
USR0000ABAN,2024-01-01,TMIN,0.0,H,,U
USR0000ABCK,2024-01-01,TMAX,-28.3,H,,U
USR0000ABCK,2024-01-01,TMIN,-36.1,H,,U
USR0000ABIL,2024-01-01,TMAX,-10.0,H,,U
USR0000ABIL,2024-01-01,TMIN,-11.1,H,,U
USR0000ABLA,2024-01-01,TMAX,13.3,H,,U
USR0000ABLA,2024-01-01,TMIN,0.0,H,,U
USR0000ABNS,2024-01-01,TMAX,19.4,H,,U
USR0000ABNS,2024-01-01,TMIN,7.2,H,,U
