station_id,date,element,value,source_flag
OPEN4071_N7401,2024-01-29,TMAX,5.8,open-meteo
OPEN4071_N7401,2024-01-29,TMIN,-0.6,open-meteo
OPEN4071_N7401,2024-01-29,PRCP,0.7,open-meteo
OPEN4071_N7401,2024-01-30,TMAX,4.3,open-meteo
OPEN4071_N7401,2024-01-30,TMIN,-4.0,open-meteo
OPEN4071_N7401,2024-01-30,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-01-31,TMAX,4.4,open-meteo
OPEN4071_N7401,2024-01-31,TMIN,-2.2,open-meteo
OPEN4071_N7401,2024-01-31,PRCP,0.2,open-meteo
OPEN4071_N7401,2024-02-01,TMAX,9.0,open-meteo
OPEN4071_N7401,2024-02-01,TMIN,-3.4,open-meteo
OPEN4071_N7401,2024-02-01,PRCP,0.6,open-meteo
OPEN4071_N7401,2024-02-02,TMAX,6.0,open-meteo
OPEN4071_N7401,2024-02-02,TMIN,1.4,open-meteo
OPEN4071_N7401,2024-02-02,PRCP,6.3,open-meteo
OPEN4071_N7401,2024-02-03,TMAX,6.0,open-meteo
OPEN4071_N7401,2024-02-03,TMIN,-3.2,open-meteo
OPEN4071_N7401,2024-02-03,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-04,TMAX,7.5,open-meteo
OPEN4071_N7401,2024-02-04,TMIN,-3.8,open-meteo
OPEN4071_N7401,2024-02-04,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-05,TMAX,7.1,open-meteo
OPEN4071_N7401,2024-02-05,TMIN,-3.2,open-meteo
OPEN4071_N7401,2024-02-05,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-06,TMAX,5.7,open-meteo
OPEN4071_N7401,2024-02-06,TMIN,-4.9,open-meteo
OPEN4071_N7401,2024-02-06,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-07,TMAX,8.1,open-meteo
OPEN4071_N7401,2024-02-07,TMIN,-3.7,open-meteo
OPEN4071_N7401,2024-02-07,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-08,TMAX,10.0,open-meteo
OPEN4071_N7401,2024-02-08,TMIN,-3.8,open-meteo
OPEN4071_N7401,2024-02-08,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-09,TMAX,11.4,open-meteo
OPEN4071_N7401,2024-02-09,TMIN,0.9,open-meteo
OPEN4071_N7401,2024-02-09,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-10,TMAX,15.9,open-meteo
OPEN4071_N7401,2024-02-10,TMIN,1.8,open-meteo
OPEN4071_N7401,2024-02-10,PRCP,0.1,open-meteo
OPEN4071_N7401,2024-02-11,TMAX,9.0,open-meteo
OPEN4071_N7401,2024-02-11,TMIN,3.6,open-meteo
OPEN4071_N7401,2024-02-11,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-12,TMAX,9.1,open-meteo
OPEN4071_N7401,2024-02-12,TMIN,-1.8,open-meteo
OPEN4071_N7401,2024-02-12,PRCP,0.1,open-meteo
OPEN4071_N7401,2024-02-13,TMAX,3.2,open-meteo
OPEN4071_N7401,2024-02-13,TMIN,-1.6,open-meteo
OPEN4071_N7401,2024-02-13,PRCP,27.7,open-meteo
OPEN4071_N7401,2024-02-14,TMAX,0.3,open-meteo
OPEN4071_N7401,2024-02-14,TMIN,-4.3,open-meteo
OPEN4071_N7401,2024-02-14,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-15,TMAX,2.8,open-meteo
OPEN4071_N7401,2024-02-15,TMIN,-5.4,open-meteo
OPEN4071_N7401,2024-02-15,PRCP,0.2,open-meteo
OPEN4071_N7401,2024-02-16,TMAX,5.1,open-meteo
OPEN4071_N7401,2024-02-16,TMIN,-2.0,open-meteo
OPEN4071_N7401,2024-02-16,PRCP,0.1,open-meteo
OPEN4071_N7401,2024-02-17,TMAX,2.2,open-meteo
OPEN4071_N7401,2024-02-17,TMIN,-5.2,open-meteo
OPEN4071_N7401,2024-02-17,PRCP,5.8,open-meteo
OPEN4071_N7401,2024-02-18,TMAX,4.9,open-meteo
OPEN4071_N7401,2024-02-18,TMIN,-6.3,open-meteo
OPEN4071_N7401,2024-02-18,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-19,TMAX,4.1,open-meteo
OPEN4071_N7401,2024-02-19,TMIN,-4.1,open-meteo
OPEN4071_N7401,2024-02-19,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-20,TMAX,2.3,open-meteo
OPEN4071_N7401,2024-02-20,TMIN,-6.4,open-meteo
OPEN4071_N7401,2024-02-20,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-21,TMAX,4.6,open-meteo
OPEN4071_N7401,2024-02-21,TMIN,-5.6,open-meteo
OPEN4071_N7401,2024-02-21,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-22,TMAX,6.8,open-meteo
OPEN4071_N7401,2024-02-22,TMIN,-5.1,open-meteo
OPEN4071_N7401,2024-02-22,PRCP,0.4,open-meteo
OPEN4071_N7401,2024-02-23,TMAX,8.2,open-meteo
OPEN4071_N7401,2024-02-23,TMIN,1.4,open-meteo
OPEN4071_N7401,2024-02-23,PRCP,3.0,open-meteo
OPEN4071_N7401,2024-02-24,TMAX,5.6,open-meteo
OPEN4071_N7401,2024-02-24,TMIN,-3.9,open-meteo
OPEN4071_N7401,2024-02-24,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-25,TMAX,4.1,open-meteo
OPEN4071_N7401,2024-02-25,TMIN,-7.3,open-meteo
OPEN4071_N7401,2024-02-25,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-02-26,TMAX,11.4,open-meteo
OPEN4071_N7401,2024-02-26,TMIN,-2.2,open-meteo
OPEN4071_N7401,2024-02-26,PRCP,2.9,open-meteo
OPEN4071_N7401,2024-02-27,TMAX,13.9,open-meteo
OPEN4071_N7401,2024-02-27,TMIN,-0.1,open-meteo
OPEN4071_N7401,2024-02-27,PRCP,4.0,open-meteo
OPEN4071_N7401,2024-02-28,TMAX,17.1,open-meteo
OPEN4071_N7401,2024-02-28,TMIN,6.7,open-meteo
OPEN4071_N7401,2024-02-28,PRCP,15.6,open-meteo
OPEN4071_N7401,2024-02-29,TMAX,4.9,open-meteo
OPEN4071_N7401,2024-02-29,TMIN,-2.8,open-meteo
OPEN4071_N7401,2024-02-29,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-01,TMAX,5.9,open-meteo
OPEN4071_N7401,2024-03-01,TMIN,-4.4,open-meteo
OPEN4071_N7401,2024-03-01,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-02,TMAX,10.1,open-meteo
OPEN4071_N7401,2024-03-02,TMIN,2.2,open-meteo
OPEN4071_N7401,2024-03-02,PRCP,28.1,open-meteo
OPEN4071_N7401,2024-03-03,TMAX,18.7,open-meteo
OPEN4071_N7401,2024-03-03,TMIN,5.9,open-meteo
OPEN4071_N7401,2024-03-03,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-04,TMAX,14.4,open-meteo
OPEN4071_N7401,2024-03-04,TMIN,3.7,open-meteo
OPEN4071_N7401,2024-03-04,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-05,TMAX,8.4,open-meteo
OPEN4071_N7401,2024-03-05,TMIN,5.2,open-meteo
OPEN4071_N7401,2024-03-05,PRCP,20.3,open-meteo
OPEN4071_N7401,2024-03-06,TMAX,9.8,open-meteo
OPEN4071_N7401,2024-03-06,TMIN,3.7,open-meteo
OPEN4071_N7401,2024-03-06,PRCP,34.0,open-meteo
OPEN4071_N7401,2024-03-07,TMAX,12.6,open-meteo
OPEN4071_N7401,2024-03-07,TMIN,4.9,open-meteo
OPEN4071_N7401,2024-03-07,PRCP,2.7,open-meteo
OPEN4071_N7401,2024-03-08,TMAX,12.4,open-meteo
OPEN4071_N7401,2024-03-08,TMIN,0.8,open-meteo
OPEN4071_N7401,2024-03-08,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-09,TMAX,8.1,open-meteo
OPEN4071_N7401,2024-03-09,TMIN,3.8,open-meteo
OPEN4071_N7401,2024-03-09,PRCP,43.5,open-meteo
OPEN4071_N7401,2024-03-10,TMAX,10.9,open-meteo
OPEN4071_N7401,2024-03-10,TMIN,1.9,open-meteo
OPEN4071_N7401,2024-03-10,PRCP,6.1,open-meteo
OPEN4071_N7401,2024-03-11,TMAX,10.1,open-meteo
OPEN4071_N7401,2024-03-11,TMIN,1.0,open-meteo
OPEN4071_N7401,2024-03-11,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-12,TMAX,17.5,open-meteo
OPEN4071_N7401,2024-03-12,TMIN,2.5,open-meteo
OPEN4071_N7401,2024-03-12,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-13,TMAX,15.4,open-meteo
OPEN4071_N7401,2024-03-13,TMIN,2.5,open-meteo
OPEN4071_N7401,2024-03-13,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-14,TMAX,21.2,open-meteo
OPEN4071_N7401,2024-03-14,TMIN,4.0,open-meteo
OPEN4071_N7401,2024-03-14,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-15,TMAX,21.6,open-meteo
OPEN4071_N7401,2024-03-15,TMIN,7.9,open-meteo
OPEN4071_N7401,2024-03-15,PRCP,0.8,open-meteo
OPEN4071_N7401,2024-03-16,TMAX,14.4,open-meteo
OPEN4071_N7401,2024-03-16,TMIN,4.8,open-meteo
OPEN4071_N7401,2024-03-16,PRCP,0.1,open-meteo
OPEN4071_N7401,2024-03-17,TMAX,15.8,open-meteo
OPEN4071_N7401,2024-03-17,TMIN,7.2,open-meteo
OPEN4071_N7401,2024-03-17,PRCP,0.4,open-meteo
OPEN4071_N7401,2024-03-18,TMAX,9.2,open-meteo
OPEN4071_N7401,2024-03-18,TMIN,1.9,open-meteo
OPEN4071_N7401,2024-03-18,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-19,TMAX,7.5,open-meteo
OPEN4071_N7401,2024-03-19,TMIN,0.2,open-meteo
OPEN4071_N7401,2024-03-19,PRCP,0.5,open-meteo
OPEN4071_N7401,2024-03-20,TMAX,11.9,open-meteo
OPEN4071_N7401,2024-03-20,TMIN,0.4,open-meteo
OPEN4071_N7401,2024-03-20,PRCP,2.8,open-meteo
OPEN4071_N7401,2024-03-21,TMAX,5.6,open-meteo
OPEN4071_N7401,2024-03-21,TMIN,-3.7,open-meteo
OPEN4071_N7401,2024-03-21,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-22,TMAX,5.7,open-meteo
OPEN4071_N7401,2024-03-22,TMIN,-5.2,open-meteo
OPEN4071_N7401,2024-03-22,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-23,TMAX,10.0,open-meteo
OPEN4071_N7401,2024-03-23,TMIN,0.3,open-meteo
OPEN4071_N7401,2024-03-23,PRCP,63.6,open-meteo
OPEN4071_N7401,2024-03-24,TMAX,8.6,open-meteo
OPEN4071_N7401,2024-03-24,TMIN,-2.4,open-meteo
OPEN4071_N7401,2024-03-24,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-25,TMAX,10.2,open-meteo
OPEN4071_N7401,2024-03-25,TMIN,-1.5,open-meteo
OPEN4071_N7401,2024-03-25,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-26,TMAX,9.9,open-meteo
OPEN4071_N7401,2024-03-26,TMIN,0.1,open-meteo
OPEN4071_N7401,2024-03-26,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-03-27,TMAX,10.9,open-meteo
OPEN4071_N7401,2024-03-27,TMIN,4.8,open-meteo
OPEN4071_N7401,2024-03-27,PRCP,1.0,open-meteo
OPEN4071_N7401,2024-03-28,TMAX,10.7,open-meteo
OPEN4071_N7401,2024-03-28,TMIN,5.5,open-meteo
OPEN4071_N7401,2024-03-28,PRCP,21.4,open-meteo
OPEN4071_N7401,2024-03-29,TMAX,12.6,open-meteo
OPEN4071_N7401,2024-03-29,TMIN,3.6,open-meteo
OPEN4071_N7401,2024-03-29,PRCP,0.1,open-meteo
OPEN4071_N7401,2024-03-30,TMAX,14.6,open-meteo
OPEN4071_N7401,2024-03-30,TMIN,2.4,open-meteo
OPEN4071_N7401,2024-03-30,PRCP,0.1,open-meteo
OPEN4071_N7401,2024-03-31,TMAX,16.2,open-meteo
OPEN4071_N7401,2024-03-31,TMIN,4.5,open-meteo
OPEN4071_N7401,2024-03-31,PRCP,0.2,open-meteo
OPEN4071_N7401,2024-04-01,TMAX,12.6,open-meteo
OPEN4071_N7401,2024-04-01,TMIN,5.5,open-meteo
OPEN4071_N7401,2024-04-01,PRCP,3.3,open-meteo
OPEN4071_N7401,2024-04-02,TMAX,8.4,open-meteo
OPEN4071_N7401,2024-04-02,TMIN,6.2,open-meteo
OPEN4071_N7401,2024-04-02,PRCP,19.0,open-meteo
OPEN4071_N7401,2024-04-03,TMAX,6.9,open-meteo
OPEN4071_N7401,2024-04-03,TMIN,4.4,open-meteo
OPEN4071_N7401,2024-04-03,PRCP,28.5,open-meteo
OPEN4071_N7401,2024-04-04,TMAX,9.2,open-meteo
OPEN4071_N7401,2024-04-04,TMIN,2.2,open-meteo
OPEN4071_N7401,2024-04-04,PRCP,6.2,open-meteo
OPEN4071_N7401,2024-04-05,TMAX,9.6,open-meteo
OPEN4071_N7401,2024-04-05,TMIN,1.6,open-meteo
OPEN4071_N7401,2024-04-05,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-04-06,TMAX,11.5,open-meteo
OPEN4071_N7401,2024-04-06,TMIN,3.1,open-meteo
OPEN4071_N7401,2024-04-06,PRCP,0.2,open-meteo
OPEN4071_N7401,2024-04-07,TMAX,14.3,open-meteo
OPEN4071_N7401,2024-04-07,TMIN,1.5,open-meteo
OPEN4071_N7401,2024-04-07,PRCP,0.1,open-meteo
OPEN4071_N7401,2024-04-08,TMAX,18.0,open-meteo
OPEN4071_N7401,2024-04-08,TMIN,0.9,open-meteo
OPEN4071_N7401,2024-04-08,PRCP,1.0,open-meteo
OPEN4071_N7401,2024-04-09,TMAX,24.0,open-meteo
OPEN4071_N7401,2024-04-09,TMIN,4.9,open-meteo
OPEN4071_N7401,2024-04-09,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-04-10,TMAX,15.9,open-meteo
OPEN4071_N7401,2024-04-10,TMIN,8.2,open-meteo
OPEN4071_N7401,2024-04-10,PRCP,0.6,open-meteo
OPEN4071_N7401,2024-04-11,TMAX,17.1,open-meteo
OPEN4071_N7401,2024-04-11,TMIN,9.3,open-meteo
OPEN4071_N7401,2024-04-11,PRCP,6.6,open-meteo
OPEN4071_N7401,2024-04-12,TMAX,19.6,open-meteo
OPEN4071_N7401,2024-04-12,TMIN,12.1,open-meteo
OPEN4071_N7401,2024-04-12,PRCP,14.8,open-meteo
OPEN4071_N7401,2024-04-13,TMAX,11.4,open-meteo
OPEN4071_N7401,2024-04-13,TMIN,7.7,open-meteo
OPEN4071_N7401,2024-04-13,PRCP,2.0,open-meteo
OPEN4071_N7401,2024-04-14,TMAX,22.2,open-meteo
OPEN4071_N7401,2024-04-14,TMIN,5.9,open-meteo
OPEN4071_N7401,2024-04-14,PRCP,0.9,open-meteo
OPEN4071_N7401,2024-04-15,TMAX,24.8,open-meteo
OPEN4071_N7401,2024-04-15,TMIN,10.4,open-meteo
OPEN4071_N7401,2024-04-15,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-04-16,TMAX,20.5,open-meteo
OPEN4071_N7401,2024-04-16,TMIN,6.9,open-meteo
OPEN4071_N7401,2024-04-16,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-04-17,TMAX,15.6,open-meteo
OPEN4071_N7401,2024-04-17,TMIN,7.4,open-meteo
OPEN4071_N7401,2024-04-17,PRCP,3.3,open-meteo
OPEN4071_N7401,2024-04-18,TMAX,9.4,open-meteo
OPEN4071_N7401,2024-04-18,TMIN,5.6,open-meteo
OPEN4071_N7401,2024-04-18,PRCP,5.9,open-meteo
OPEN4071_N7401,2024-04-19,TMAX,13.2,open-meteo
OPEN4071_N7401,2024-04-19,TMIN,4.1,open-meteo
OPEN4071_N7401,2024-04-19,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-04-20,TMAX,20.1,open-meteo
OPEN4071_N7401,2024-04-20,TMIN,7.1,open-meteo
OPEN4071_N7401,2024-04-20,PRCP,2.3,open-meteo
OPEN4071_N7401,2024-04-21,TMAX,12.1,open-meteo
OPEN4071_N7401,2024-04-21,TMIN,2.1,open-meteo
OPEN4071_N7401,2024-04-21,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-04-22,TMAX,15.0,open-meteo
OPEN4071_N7401,2024-04-22,TMIN,2.1,open-meteo
OPEN4071_N7401,2024-04-22,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-04-23,TMAX,14.8,open-meteo
OPEN4071_N7401,2024-04-23,TMIN,2.2,open-meteo
OPEN4071_N7401,2024-04-23,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-04-24,TMAX,21.4,open-meteo
OPEN4071_N7401,2024-04-24,TMIN,8.6,open-meteo
OPEN4071_N7401,2024-04-24,PRCP,1.6,open-meteo
OPEN4071_N7401,2024-04-25,TMAX,12.3,open-meteo
OPEN4071_N7401,2024-04-25,TMIN,3.2,open-meteo
OPEN4071_N7401,2024-04-25,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-04-26,TMAX,14.6,open-meteo
OPEN4071_N7401,2024-04-26,TMIN,1.7,open-meteo
OPEN4071_N7401,2024-04-26,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-04-27,TMAX,14.5,open-meteo
OPEN4071_N7401,2024-04-27,TMIN,3.0,open-meteo
OPEN4071_N7401,2024-04-27,PRCP,0.3,open-meteo
OPEN4071_N7401,2024-04-28,TMAX,22.8,open-meteo
OPEN4071_N7401,2024-04-28,TMIN,9.1,open-meteo
OPEN4071_N7401,2024-04-28,PRCP,0.6,open-meteo
OPEN4071_N7401,2024-04-29,TMAX,28.3,open-meteo
OPEN4071_N7401,2024-04-29,TMIN,13.0,open-meteo
OPEN4071_N7401,2024-04-29,PRCP,3.4,open-meteo
OPEN4071_N7401,2024-04-30,TMAX,22.9,open-meteo
OPEN4071_N7401,2024-04-30,TMIN,11.2,open-meteo
OPEN4071_N7401,2024-04-30,PRCP,2.2,open-meteo
OPEN4071_N7401,2024-05-01,TMAX,24.8,open-meteo
OPEN4071_N7401,2024-05-01,TMIN,10.4,open-meteo
OPEN4071_N7401,2024-05-01,PRCP,1.5,open-meteo
OPEN4071_N7401,2024-05-02,TMAX,27.8,open-meteo
OPEN4071_N7401,2024-05-02,TMIN,10.2,open-meteo
OPEN4071_N7401,2024-05-02,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-05-03,TMAX,17.2,open-meteo
OPEN4071_N7401,2024-05-03,TMIN,9.8,open-meteo
OPEN4071_N7401,2024-05-03,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-05-04,TMAX,16.5,open-meteo
OPEN4071_N7401,2024-05-04,TMIN,7.8,open-meteo
OPEN4071_N7401,2024-05-04,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-05-05,TMAX,12.1,open-meteo
OPEN4071_N7401,2024-05-05,TMIN,9.1,open-meteo
OPEN4071_N7401,2024-05-05,PRCP,8.9,open-meteo
OPEN4071_N7401,2024-05-06,TMAX,22.6,open-meteo
OPEN4071_N7401,2024-05-06,TMIN,11.9,open-meteo
OPEN4071_N7401,2024-05-06,PRCP,0.5,open-meteo
OPEN4071_N7401,2024-05-07,TMAX,26.1,open-meteo
OPEN4071_N7401,2024-05-07,TMIN,12.2,open-meteo
OPEN4071_N7401,2024-05-07,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-05-08,TMAX,30.9,open-meteo
OPEN4071_N7401,2024-05-08,TMIN,15.9,open-meteo
OPEN4071_N7401,2024-05-08,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-05-09,TMAX,21.0,open-meteo
OPEN4071_N7401,2024-05-09,TMIN,14.3,open-meteo
OPEN4071_N7401,2024-05-09,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-05-10,TMAX,12.6,open-meteo
OPEN4071_N7401,2024-05-10,TMIN,9.4,open-meteo
OPEN4071_N7401,2024-05-10,PRCP,12.9,open-meteo
OPEN4071_N7401,2024-05-11,TMAX,16.5,open-meteo
OPEN4071_N7401,2024-05-11,TMIN,6.5,open-meteo
OPEN4071_N7401,2024-05-11,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-05-12,TMAX,13.4,open-meteo
OPEN4071_N7401,2024-05-12,TMIN,8.1,open-meteo
OPEN4071_N7401,2024-05-12,PRCP,7.6,open-meteo
OPEN4071_N7401,2024-05-13,TMAX,20.0,open-meteo
OPEN4071_N7401,2024-05-13,TMIN,5.8,open-meteo
OPEN4071_N7401,2024-05-13,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-05-14,TMAX,22.5,open-meteo
OPEN4071_N7401,2024-05-14,TMIN,9.4,open-meteo
OPEN4071_N7401,2024-05-14,PRCP,3.3,open-meteo
OPEN4071_N7401,2024-05-15,TMAX,19.8,open-meteo
OPEN4071_N7401,2024-05-15,TMIN,13.5,open-meteo
OPEN4071_N7401,2024-05-15,PRCP,6.8,open-meteo
OPEN4071_N7401,2024-05-16,TMAX,19.0,open-meteo
OPEN4071_N7401,2024-05-16,TMIN,14.3,open-meteo
OPEN4071_N7401,2024-05-16,PRCP,4.7,open-meteo
OPEN4071_N7401,2024-05-17,TMAX,22.6,open-meteo
OPEN4071_N7401,2024-05-17,TMIN,12.1,open-meteo
OPEN4071_N7401,2024-05-17,PRCP,0.0,open-meteo
OPEN4071_N7401,2024-05-18,TMAX,22.8,open-meteo
OPEN4071_N7401,2024-05-18,TMIN,13.2,open-meteo
OPEN4071_N7401,2024-05-18,PRCP,2.2,open-meteo
OPEN4071_N7401,2024-05-19,TMAX,23.4,open-meteo
OPEN4071_N7401,2024-05-19,TMIN,12.4,open-meteo
OPEN4071_N7401,2024-05-19,PRCP,0.2,open-meteo
OPEN4071_N7401,2024-05-20,TMAX,23.8,open-meteo
